B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=430,1690,72,57&page=3;;※ enim
aliꝗbus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=625,1686,170,57&page=3;;※ aliquibus
eadẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=784,1688,125,55&page=3;;※ eadem
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=911,1681,64,55&page=3;;※ tamen
nouũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=891,1627,127,59&page=3;;※ nouum
ſiꝉr;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1302,1629,73,57&page=3;;※ similiter
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1368,1618,71,75&page=3;; ※ et
faciũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=257,1570,127,75&page=3;;※ faciunt
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=545,1563,105,64&page=3;;※ enim
ꝓprio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=659,1561,152,66&page=3;;※ proprio
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=925,1570,198,63&page=3;;※ litterarum
latinarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1114,1568,186,75&page=3;;※ latinarum
ꝗbuſdã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=368,1502,184,68&page=3;;※ quibusdam
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=873,1511,88,66&page=3;;※ vero
eodẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=970,1493,191,95&page=3;;※ eodem
mõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1077,1504,80,75&page=3;;※ modo
cõferuant;file:Zaborowski_Polona.djvu?djvuopts=&highlight=502,1447,225,71&page=3;;※ conseruant
ꝓprĳs;file:Zaborowski_Polona.djvu?djvuopts=&highlight=866,1443,154,68&page=3;;※ propriis
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1168,1461,71,63&page=3;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1461,1443,64,66&page=3;; ※ et
bñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=255,1393,90,61&page=3;;※ bene
ratiõabilitᷣ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=373,1390,243,66&page=3;wątpliwy diakryt;※ rationabiliter
faciũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=657,1390,141,66&page=3;;※ faciunt
ia̋;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1089,1393,93,68&page=3;;※ iam
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1141,1393,193,66&page=3;;※ litterarum
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=305,1329,40,68&page=3;;※ cum
ſuꝑiori;file:Zaborowski_Polona.djvu?djvuopts=&highlight=861,1318,175,91&page=3;;※ superiori
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1225,1325,130,81&page=3;;※ huiusmodi
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=200,1265,116,78&page=3;;※ sonum
infirmorũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=443,1272,237,57&page=3;;※ infirmorum
formatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=884,1268,202,70&page=3;;※ formatum
