B;file:Zaborowski_Polona.djvu;Egzemplarz B; ※ wydanie 2
incoIatꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1216,2672,175,68&page=6;;※ incolatus
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,2665,63,61&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=418,2613,64,52&page=6;; ※ id est
ꝗbus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=614,2592,143,80&page=6;;※ quibus
vulgaribꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=902,2608,207,61&page=6;;※ vulgaribus
etiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1105,2613,106,50&page=6;;※ etiam
accipit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1459,2613,146,52&page=6;;※ accipitur
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1609,2610,64,53&page=6;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=795,2565,64,50&page=6;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=800,2433,61,71&page=6;; ※ et
ſignetᷣ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1020,2435,153,64&page=6;;※ signetur
ſuꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1520,2413,75,84&page=6;;※ super
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=514,2379,154,56&page=6;;※ huiusmodi
aliarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1100,2372,116,70&page=6;;※ aliarum
durarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1214,2374,163,59&page=6;;※ durarum
litterarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1368,2376,198,66&page=6;;※ literarum
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=957,2329,113,52&page=6;;※ huiusmodi
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1130,2308,104,73&page=6;; ※ que
aũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1230,2313,86,57&page=6;;※ autem
diﬀerẽtia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1332,2315,186,61&page=6;;※ differentia
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1707,2308,88,62&highlight=416,2251,111,71&page=6;+1; ※ graecum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=532,2261,48,68&page=6;; ※ et
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=595,2261,155,70&page=6;;※ latinum
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=907,2261,111,72&page=6;;※ sonum
eodẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1452,2256,123,64&page=6;;※ eodem
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1552,2261,96,61&page=6;;※ enim
mõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1652,2251,64,73&page=6;;※ modo
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,2192,195,82&page=6;;※ dictionibus
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1389,2195,61,66&page=6;; ※ id est
exm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=566,2142,118,57&page=6;;※ exemplum
&c.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1148,2140,107,64&page=6;; ※ etc.
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1432,2140,73,59&page=6;;※ tamen
differũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1493,2140,184,64&page=6;;※ differunt
drñt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,2079,109,66&page=6;;※ differunt
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=723,2077,120,65&page=6;+2 Urbańczyk: gręcum?;※ graecum
ꝗa;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1011,2067,66,73&page=6;;※ quia
diiõe;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1257,2083,150,48&page=6;;※ dictione
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,2077,118,68&page=6;;※ ponitur
tm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=495,2033,82,30&page=6;;※ tamen
gręcis.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,2017,132,66&page=6;+1; ※ gręcis
ſuꝑflua;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1343,2017,171,82&page=6;;※ superflua
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1639,2013,68,82&page=6;;※ tamen
quantũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=600,1961,148,77&page=6;;※ quantum
neceﬀaria:;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1061,1963,232,66&page=6;;※ necessaria
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1298,1954,91,63&page=6;; ※ que
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=757,1915,59,64&page=6;; ※ et
ſequẽte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=823,1888,182,77&page=6;;※ sequente
eadẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1186,1906,125,61&page=6;;※ eadem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1566,1906,50,50&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=461,1858,41,50&page=6;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=655,1845,79,36&page=6;; ※ et
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=711,1852,148,45&page=6;;※ huiusmodi
quę;file:Zaborowski_Polona.djvu?djvuopts=&highlight=855,1838,93,77&page=6;; ※ que
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=936,1845,87,70&page=6;;※ tamen
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1191,1843,68,74&page=6;; ※ et
ſiꝉia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1323,1849,97,59&page=6;;※ similia
pũis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=768,1768,125,84&page=6;;※ punctis
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1486,1786,91,66&page=6;;※ vero
diõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=877,1743,187,52&page=6;;※ dictionibus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1114,1745,63,52&page=6;; ※ et
quidã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=689,1665,138,68&highlight=668,1677,155,59&page=6;@;※ quidam
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,1679,68,73&page=6;;※ tamen
vtunt᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=939,1670,116,73&page=6;;※ vtuntur
quantũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1118,1672,155,57&page=6;;※ quantum
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1568,1668,227,68&page=6;;※ dictionibus
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=727,1609,139,59&page=6;;※ sonum
mollẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=852,1620,141,50&page=6;;※ mollem
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1055,1615,150,68&page=6;;※ latinum
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1414,1606,84,46&page=6;;※ vero
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1495,1611,116,66&page=6;;※ durum
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=445,1554,144,55&page=6;;※ latinum
ponũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=586,1554,141,57&page=6;;※ ponunt
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=730,1547,81,75&page=6;;※ quod
cõtra;file:Zaborowski_Polona.djvu?djvuopts=&highlight=864,1547,136,68&page=6;;※ contra
naturã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=995,1556,160,55&page=6;;※ naturam
itẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1452,1540,80,80&page=6;;※ item
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1543,1552,137,59&page=6;+2 Urbańczyk: gręcum;※ graecum
ne;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1695,1545,107,66&page=6;;※ neque
ponat᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1498,1484,145,84&page=6;;※ ponatur
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1734,1493,77,56&page=6;;※ cum
p̃cedẽti;file:Zaborowski_Polona.djvu?djvuopts=&highlight=405,1431,197,68&page=6;;※ precedenti
cõſillabicet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=732,1438,245,61&page=6;;※ consillabicetur
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1134,1447,59,43&page=6;; ※ id est
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1414,1427,61,66&page=6;; ※ id est
&c̈;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1693,1427,118,68&page=6;; ※ etc.
gręca;file:Zaborowski_Polona.djvu?djvuopts=&highlight=632,1370,132,75&page=6;+1; ※ graeca
vñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=911,1384,69,54&page=6;;※ vnde
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1234,1375,161,68&page=6;;※ latinum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1368,1375,66,54&page=6;; ※ et
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1482,1377,163,57&page=6;+1; ※ graecum
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=595,1318,87,72&page=6;;※ enim
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=664,1325,147,68&page=6;;※ latinum
interdũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=895,1318,180,54&page=6;;※ interdum
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1070,1313,55,68&page=6;;※ per
ſillabã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1157,1313,152,80&page=6;;※ sillabam
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1732,1318,77,59&page=6;; ※ et
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=650,1259,182,61&page=6;;※ dictionibus
i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1109,1263,52,64&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1361,1263,48,41&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1543,1259,71,63&page=6;; ※ id est
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1716,1252,66,70&page=6;;※ vero
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=425,1209,141,41&page=6;+2; ※ graecum
nõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=545,1204,82,52&page=6;;※ non
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=782,1195,50,64&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1039,1204,54,52&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1250,1190,66,66&page=6;; ※ id est
ꝑcute;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1295,1190,132,73&page=6;;※ percute
itẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1427,1195,84,80&page=6;;※ item
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=434,1136,148,79&page=6;;※ latinum
geminatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=580,1138,218,59&page=6;;※ geminatum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=786,1131,75,80&page=6;; ※ et
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=884,1145,139,55&page=6;+2 Urbańczyk: gręcum;※ graecum
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1045,1147,98,53&page=6;;※ enim
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1134,1145,130,61&page=6;;※ latinum
geminatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1264,1134,218,72&page=6;;※ geminatum
primũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=818,1086,173,54&page=6;;※ primum
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1693,1075,37,72&page=6;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1745,1072,55,64&page=6;; ※ et
diiõibꝰ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=768,1027,187,61&page=6;;※ dictionibus
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1095,1022,71,48&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1395,1020,75,64&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=484,968,57,59&page=6;; ※ id est
q;file:Zaborowski_Polona.djvu?djvuopts=&highlight=711,952,82,75&page=6;;※ quod
etiã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=791,959,86,63&page=6;;※ etiam
põt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=855,963,88,50&page=6;;※ potest
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1302,950,66,59&page=6;;※ per
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1657,966,57,50&page=6;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=730,906,68,53&page=6;; ※ id est
gręcũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1168,886,139,91&page=6;+2; ※ graecum
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1298,906,66,55&page=6;;※ cum
vnã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1691,893,111,70&page=6;;※ vnam
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=773,847,52,53&page=6;; ※ id est
hmõi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1018,841,139,63&page=6;;※ huiusmodi
gręcum;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1061,772,171,69&page=6;+2; ※ graecum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1232,786,70,61&page=6;; ※ et
&c̈.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=850,736,93,55&page=6;; ※ etc.
7;file:Zaborowski_Polona.djvu?djvuopts=&highlight=766,2697,120,52&page=7;;※ strony B
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=766,2697,120,52&page=7;;※ sonum
exilẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1045,2685,119,71&page=7;;※ exilem
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1161,2683,53,73&page=7;;※ cum
diionẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=652,2638,184,59&page=7;;※ dictionem
ſillabã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=905,2624,150,66&page=7;;※ sillabam
vꝉ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,2626,68,66&page=7;;※ vel
añ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=300,2565,61,59&page=7;;※ ante
cõſonantẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=643,2576,234,57&page=7;;※ consonantem
mediũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1098,2567,166,66&page=7;;※ medium
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1241,2563,79,68&page=7;;※ vero
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1311,2572,71,61&page=7;;※ cum
ponit᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=280,2504,134,63&page=7;;※ ponitur
cõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1086,2504,89,77&page=7;;※ communis
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1241,2510,73,57&page=7;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1430,2508,77,66&page=7;; ※ et
diiõibus:;file:Zaborowski_Polona.djvu?djvuopts=&highlight=368,2454,239,63&page=7;;※ dictionibus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=609,2451,64,59&page=7;; ※ et
eodẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=723,2458,134,55&page=7;;※ eodem
mõ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=841,2456,91,54&page=7;;※ modo
vñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1248,2454,84,68&page=7;;※ vnde
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1416,2451,68,69&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=427,2395,59,52&page=7;; ※ id est
popꝉus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=466,2395,170,50&page=7;;※ populus
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=748,2401,66,41&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1448,2397,61,59&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=495,2333,60,64&page=7;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=661,2331,69,70&page=7;; ※ et
ſiꝉia;file:Zaborowski_Polona.djvu?djvuopts=&highlight=714,2342,116,71&page=7;;※ similia
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=441,2276,127,62&page=7;;※ latinum
ꝓut;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,2274,89,59&page=7;;※ prout
faciũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=641,2279,129,66&page=7;;※ faciunt
ꝗdã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=777,2265,98,84&page=7;;※ quidam
ſcribẽtes;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1025,2272,198,70&page=7;;※ scribentes
talẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1234,2283,82,50&page=7;;※ talem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1305,2272,127,77&page=7;;※ sonum
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1423,2267,50,80&page=7;;※ qui
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1477,2274,55,73&page=7;;※ cum
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=534,2208,52,66&page=7;;※ per
gręco;file:Zaborowski_Polona.djvu?djvuopts=&highlight=623,2213,138,63&page=7;; ※ graeco
ſequẽte;file:Zaborowski_Polona.djvu?djvuopts=&highlight=759,2226,182,46&page=7;;※ sequente
barborũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=414,2149,191,73&page=7;sic!;※ barbarum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=657,2176,70,46&page=7;; ※ et
ſuꝑfluũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=711,2151,191,91&page=7;;※ superfluum
ꝗ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1493,2147,62,70&page=7;;※ qui
nun̈;file:Zaborowski_Polona.djvu?djvuopts=&highlight=373,2090,120,75&page=7;;※ nunquam
diiõibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=855,2104,227,68&page=7;;※ dictionibus
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1357,2097,95,73&page=7;;※ vero
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,2047,48,50&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=743,2049,52,55&page=7;; ※ id est
mendaciũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=814,2052,206,47&page=7;;※ mendacium
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1107,2047,59,55&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1393,2045,48,68&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=264,1983,59,59&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=530,1986,70,63&page=7;; ※ id est
lixiuiũ.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=561,1992,164,53&page=7;;※ lixiuium
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=802,1986,57,52&page=7;; ※ id est
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=968,1977,66,77&page=7;; ※ et
fiꝉibus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1027,1986,141,59&page=7;;※ similibus
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1395,1986,69,59&page=7;;※ cum
extraneus;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1511,1992,84,46&highlight=223,1925,173,52&page=7;; ※ extraneus
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=559,1929,52,50&page=7;; ※ et
tñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=300,1863,84,64&page=7;;※ tamen
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=620,1858,73,87&page=7;; ※ et
ſignet᷑;file:Zaborowski_Polona.djvu?djvuopts=&highlight=886,1870,128,63&page=7;;※ signetur
ꝑ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1159,1858,59,69&page=7;;※ per
ꝓiea;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1414,1868,166,70&page=7;;※ proiecta
quidã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=318,1804,171,66&page=7;;※ quidam
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=466,1799,82,71&page=7;;※ vero
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=868,1806,143,71&page=7;;※ latinum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=995,1808,78,66&page=7;; ※ et
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1073,1811,136,75&page=7;;※ durum
talẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1195,1811,96,70&page=7;;※ talem
faciũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1268,1811,139,72&page=7;;※ faciunt
drñtiam;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1407,1806,202,73&page=7;;※ differentiam
em̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=243,1749,89,62&page=7;;※ enim
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=300,1733,168,75&page=7;;※ latinum
ſcribũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=450,1749,168,62&page=7;;※ scribunt
ſuꝑius;file:Zaborowski_Polona.djvu?djvuopts=&highlight=605,1752,159,66&page=7;;※ superius
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=752,1740,71,71&page=7;;※ cum
rotũdũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1009,1743,175,63&page=7;;※ rotundum
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1275,1749,130,66&page=7;;※ durum
ꝟo;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1380,1752,81,54&page=7;;※ vero
reũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1482,1756,123,57&page=7;;※ rectum
baculũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=341,1693,161,52&page=7;;※ baculum
siꝉi;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1688,105,70&page=7;niezidentygikowany diakryt;※ similiter
cũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1314,1690,66,80&page=7;;※ cum
vtrũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1373,1693,147,70&page=7;;※ vtrumque
latinũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=220,1627,150,61&page=7;;※ latinum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=352,1618,73,61&page=7;; ※ et
durũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=934,1629,116,75&page=7;;※ durum
vſitatũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1439,1633,177,66&page=7;;※ vsitatum
fignandũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1370,1579,221,52&page=7;;※ signandum
tan̈;file:Zaborowski_Polona.djvu?djvuopts=&highlight=214,1488,129,82&page=7;;※ tanquam
ꝙ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1027,1504,55,68&page=7;;※ quod
qñ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1075,1502,73,75&page=7;;※ quando
vꝉ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=327,1454,78,66&page=7;;※ vel
cõcurrũt;file:Zaborowski_Polona.djvu?djvuopts=&highlight=550,1456,209,57&page=7;;※ concurrunt
eadẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=807,1454,100,64&page=7;;※ eadem
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1155,1456,65,57&page=7;; ※ id est
.i.;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1448,1459,63,75&page=7;; ※ id est
exm̃;file:Zaborowski_Polona.djvu?djvuopts=&highlight=220,1393,121,66&page=7;;※ exemplum
vnã;file:Zaborowski_Polona.djvu?djvuopts=&highlight=741,1409,89,52&page=7;;※ vnam
illarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=836,1399,132,62&page=7;;※ illorum
triplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=452,1329,173,66&page=7;;※ triplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=739,1325,118,81&page=7;;※ sonum
obſcurũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1005,1327,186,61&page=7;;※ obscurum
templũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=416,1284,159,45&page=7;;※ templum
Apertũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=584,1288,177,43&page=7;;※ Apertum
diiõis;file:Zaborowski_Polona.djvu?djvuopts=&highlight=818,1290,162,50&page=7;;※ dictionis
prĩcipio;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1007,1277,168,68&page=7;;※ principio
mediocrẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1364,1286,247,54&page=7;;※ mediocrem
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=623,1225,59,54&page=7;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=816,1222,82,62&page=7;; ※ et
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1032,1215,66,73&page=7;; ※ et
diiõibꝰ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1305,1225,206,59&page=7;;※ dictionibus
cões;file:Zaborowski_Polona.djvu?djvuopts=&highlight=227,1152,100,68&page=7;;※ communes
duplicẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=486,1100,169,56&page=7;;※ duplicem
ſonũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=777,1104,114,59&page=7;;※ sonum
plenũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1050,1104,130,61&page=7;;※ plenum
&;file:Zaborowski_Polona.djvu?djvuopts=&highlight=1382,1091,59,88&page=7;; ※ et
ſillabarũ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=414,1050,206,59&page=7;;※ sillabarum
nomẽ;file:Zaborowski_Polona.djvu?djvuopts=&highlight=684,1041,132,63&page=7;;※ nomen
